file,emotion,emotional intensity
speech/actor_06/03-01-06-02-01-01-06.wav,fear,strong
speech/actor_06/03-01-03-02-01-02-06.wav,happiness,strong
speech/actor_06/03-01-04-01-01-02-06.wav,sadness,normal
speech/actor_06/03-01-01-01-01-02-06.wav,neutral,normal
speech/actor_06/03-01-05-01-02-01-06.wav,anger,normal
speech/actor_06/03-01-08-01-02-02-06.wav,surprise,normal
speech/actor_06/03-01-04-02-02-01-06.wav,sadness,strong
speech/actor_06/03-01-06-02-01-02-06.wav,fear,strong
speech/actor_06/03-01-06-02-02-02-06.wav,fear,strong
speech/actor_06/03-01-04-02-01-01-06.wav,sadness,strong
speech/actor_06/03-01-05-02-02-02-06.wav,anger,strong
speech/actor_06/03-01-02-01-02-02-06.wav,calm,normal
speech/actor_06/03-01-07-02-02-01-06.wav,disgust,strong
speech/actor_06/03-01-01-01-01-01-06.wav,neutral,normal
speech/actor_06/03-01-08-01-01-02-06.wav,surprise,normal
speech/actor_06/03-01-04-02-01-02-06.wav,sadness,strong
speech/actor_06/03-01-03-01-01-02-06.wav,happiness,normal
speech/actor_06/03-01-05-02-01-02-06.wav,anger,strong
speech/actor_06/03-01-02-01-01-02-06.wav,calm,normal
speech/actor_06/03-01-08-02-02-02-06.wav,surprise,strong
speech/actor_06/03-01-06-01-02-01-06.wav,fear,normal
speech/actor_06/03-01-05-01-01-02-06.wav,anger,normal
speech/actor_06/03-01-03-02-02-01-06.wav,happiness,strong
speech/actor_06/03-01-05-02-01-01-06.wav,anger,strong
speech/actor_06/03-01-07-01-01-01-06.wav,disgust,normal
speech/actor_06/03-01-08-01-01-01-06.wav,surprise,normal
speech/actor_06/03-01-02-01-01-01-06.wav,calm,normal
speech/actor_06/03-01-02-02-02-01-06.wav,calm,strong
speech/actor_06/03-01-02-02-02-02-06.wav,calm,strong
speech/actor_06/03-01-06-01-01-01-06.wav,fear,normal
speech/actor_06/03-01-08-02-01-01-06.wav,surprise,strong
speech/actor_06/03-01-02-01-02-01-06.wav,calm,normal
speech/actor_06/03-01-08-02-01-02-06.wav,surprise,strong
speech/actor_06/03-01-04-01-02-02-06.wav,sadness,normal
speech/actor_06/03-01-07-02-01-01-06.wav,disgust,strong
speech/actor_06/03-01-03-02-02-02-06.wav,happiness,strong
speech/actor_06/03-01-07-01-02-01-06.wav,disgust,normal
speech/actor_06/03-01-03-01-02-01-06.wav,happiness,normal
speech/actor_06/03-01-05-01-02-02-06.wav,anger,normal
speech/actor_06/03-01-05-01-01-01-06.wav,anger,normal
speech/actor_06/03-01-08-01-02-01-06.wav,surprise,normal
speech/actor_06/03-01-03-01-02-02-06.wav,happiness,normal
speech/actor_06/03-01-02-02-01-01-06.wav,calm,strong
speech/actor_06/03-01-04-01-01-01-06.wav,sadness,normal
speech/actor_06/03-01-04-02-02-02-06.wav,sadness,strong
speech/actor_06/03-01-04-01-02-01-06.wav,sadness,normal
speech/actor_06/03-01-08-02-02-01-06.wav,surprise,strong
speech/actor_06/03-01-01-01-02-02-06.wav,neutral,normal
speech/actor_06/03-01-02-02-01-02-06.wav,calm,strong
speech/actor_06/03-01-05-02-02-01-06.wav,anger,strong
speech/actor_06/03-01-07-02-01-02-06.wav,disgust,strong
speech/actor_06/03-01-01-01-02-01-06.wav,neutral,normal
speech/actor_06/03-01-03-01-01-01-06.wav,happiness,normal
speech/actor_06/03-01-07-02-02-02-06.wav,disgust,strong
speech/actor_06/03-01-07-01-01-02-06.wav,disgust,normal
speech/actor_06/03-01-06-02-02-01-06.wav,fear,strong
speech/actor_06/03-01-06-01-02-02-06.wav,fear,normal
speech/actor_06/03-01-03-02-01-01-06.wav,happiness,strong
speech/actor_06/03-01-07-01-02-02-06.wav,disgust,normal
speech/actor_06/03-01-06-01-01-02-06.wav,fear,normal
speech/actor_07/03-01-08-01-02-01-07.wav,surprise,normal
speech/actor_07/03-01-03-02-02-02-07.wav,happiness,strong
speech/actor_07/03-01-06-02-02-01-07.wav,fear,strong
speech/actor_07/03-01-02-02-02-02-07.wav,calm,strong
speech/actor_07/03-01-02-01-01-02-07.wav,calm,normal
speech/actor_07/03-01-05-01-02-01-07.wav,anger,normal
speech/actor_07/03-01-05-01-02-02-07.wav,anger,normal
speech/actor_07/03-01-04-01-01-02-07.wav,sadness,normal
speech/actor_07/03-01-03-01-01-01-07.wav,happiness,normal
speech/actor_07/03-01-01-01-02-01-07.wav,neutral,normal
speech/actor_07/03-01-06-02-02-02-07.wav,fear,strong
speech/actor_07/03-01-02-01-02-02-07.wav,calm,normal
speech/actor_07/03-01-06-02-01-01-07.wav,fear,strong
speech/actor_07/03-01-05-01-01-02-07.wav,anger,normal
speech/actor_07/03-01-06-01-02-01-07.wav,fear,normal
speech/actor_07/03-01-08-02-01-01-07.wav,surprise,strong
speech/actor_07/03-01-01-01-01-01-07.wav,neutral,normal
speech/actor_07/03-01-04-01-01-01-07.wav,sadness,normal
speech/actor_07/03-01-05-02-02-01-07.wav,anger,strong
speech/actor_07/03-01-03-02-01-02-07.wav,happiness,strong
speech/actor_07/03-01-01-01-01-02-07.wav,neutral,normal
speech/actor_07/03-01-02-02-01-02-07.wav,calm,strong
speech/actor_07/03-01-05-02-01-02-07.wav,anger,strong
speech/actor_07/03-01-02-02-02-01-07.wav,calm,strong
speech/actor_07/03-01-07-01-02-01-07.wav,disgust,normal
speech/actor_07/03-01-08-02-02-02-07.wav,surprise,strong
speech/actor_07/03-01-01-01-02-02-07.wav,neutral,normal
speech/actor_07/03-01-02-02-01-01-07.wav,calm,strong
speech/actor_07/03-01-07-01-01-01-07.wav,disgust,normal
speech/actor_07/03-01-04-01-02-02-07.wav,sadness,normal
speech/actor_07/03-01-08-01-01-01-07.wav,surprise,normal
speech/actor_07/03-01-05-02-02-02-07.wav,anger,strong
speech/actor_07/03-01-03-01-01-02-07.wav,happiness,normal
speech/actor_07/03-01-06-01-01-01-07.wav,fear,normal
speech/actor_07/03-01-03-02-01-01-07.wav,happiness,strong
speech/actor_07/03-01-04-02-01-02-07.wav,sadness,strong
speech/actor_07/03-01-07-02-02-02-07.wav,disgust,strong
speech/actor_07/03-01-06-01-01-02-07.wav,fear,normal
speech/actor_07/03-01-08-01-01-02-07.wav,surprise,normal
speech/actor_07/03-01-08-01-02-02-07.wav,surprise,normal
speech/actor_07/03-01-03-02-02-01-07.wav,happiness,strong
speech/actor_07/03-01-03-01-02-01-07.wav,happiness,normal
speech/actor_07/03-01-05-02-01-01-07.wav,anger,strong
speech/actor_07/03-01-06-02-01-02-07.wav,fear,strong
speech/actor_07/03-01-08-02-02-01-07.wav,surprise,strong
speech/actor_07/03-01-07-01-02-02-07.wav,disgust,normal
speech/actor_07/03-01-07-02-01-02-07.wav,disgust,strong
speech/actor_07/03-01-06-01-02-02-07.wav,fear,normal
speech/actor_07/03-01-02-01-02-01-07.wav,calm,normal
speech/actor_07/03-01-07-02-01-01-07.wav,disgust,strong
speech/actor_07/03-01-04-01-02-01-07.wav,sadness,normal
speech/actor_07/03-01-04-02-01-01-07.wav,sadness,strong
speech/actor_07/03-01-02-01-01-01-07.wav,calm,normal
speech/actor_07/03-01-04-02-02-01-07.wav,sadness,strong
speech/actor_07/03-01-07-02-02-01-07.wav,disgust,strong
speech/actor_07/03-01-05-01-01-01-07.wav,anger,normal
speech/actor_07/03-01-03-01-02-02-07.wav,happiness,normal
speech/actor_07/03-01-08-02-01-02-07.wav,surprise,strong
speech/actor_07/03-01-04-02-02-02-07.wav,sadness,strong
speech/actor_07/03-01-07-01-01-02-07.wav,disgust,normal
speech/actor_01/03-01-03-01-02-01-01.wav,happiness,normal
speech/actor_01/03-01-04-01-01-01-01.wav,sadness,normal
speech/actor_01/03-01-06-02-01-01-01.wav,fear,strong
speech/actor_01/03-01-04-01-02-02-01.wav,sadness,normal
speech/actor_01/03-01-02-01-02-01-01.wav,calm,normal
speech/actor_01/03-01-08-02-01-02-01.wav,surprise,strong
speech/actor_01/03-01-06-02-02-01-01.wav,fear,strong
speech/actor_01/03-01-03-02-01-02-01.wav,happiness,strong
speech/actor_01/03-01-08-02-02-02-01.wav,surprise,strong
speech/actor_01/03-01-08-01-02-02-01.wav,surprise,normal
speech/actor_01/03-01-03-02-01-01-01.wav,happiness,strong
speech/actor_01/03-01-06-01-01-02-01.wav,fear,normal
speech/actor_01/03-01-02-02-01-02-01.wav,calm,strong
speech/actor_01/03-01-08-02-02-01-01.wav,surprise,strong
speech/actor_01/03-01-04-02-02-02-01.wav,sadness,strong
speech/actor_01/03-01-02-01-01-02-01.wav,calm,normal
speech/actor_01/03-01-07-01-01-01-01.wav,disgust,normal
speech/actor_01/03-01-03-01-02-02-01.wav,happiness,normal
speech/actor_01/03-01-03-01-01-02-01.wav,happiness,normal
speech/actor_01/03-01-06-02-02-02-01.wav,fear,strong
speech/actor_01/03-01-05-01-01-01-01.wav,anger,normal
speech/actor_01/03-01-06-02-01-02-01.wav,fear,strong
speech/actor_01/03-01-07-01-02-01-01.wav,disgust,normal
speech/actor_01/03-01-05-01-01-02-01.wav,anger,normal
speech/actor_01/03-01-04-01-02-01-01.wav,sadness,normal
speech/actor_01/03-01-01-01-02-02-01.wav,neutral,normal
speech/actor_01/03-01-06-01-01-01-01.wav,fear,normal
speech/actor_01/03-01-03-02-02-01-01.wav,happiness,strong
speech/actor_01/03-01-05-01-02-02-01.wav,anger,normal
speech/actor_01/03-01-04-02-01-01-01.wav,sadness,strong
speech/actor_01/03-01-02-02-01-01-01.wav,calm,strong
speech/actor_01/03-01-05-01-02-01-01.wav,anger,normal
speech/actor_01/03-01-07-01-02-02-01.wav,disgust,normal
speech/actor_01/03-01-07-02-02-01-01.wav,disgust,strong
speech/actor_01/03-01-03-02-02-02-01.wav,happiness,strong
speech/actor_01/03-01-08-01-01-01-01.wav,surprise,normal
speech/actor_01/03-01-06-01-02-02-01.wav,fear,normal
speech/actor_01/03-01-05-02-01-02-01.wav,anger,strong
speech/actor_01/03-01-05-02-02-01-01.wav,anger,strong
speech/actor_01/03-01-04-02-01-02-01.wav,sadness,strong
speech/actor_01/03-01-05-02-02-02-01.wav,anger,strong
speech/actor_01/03-01-03-01-01-01-01.wav,happiness,normal
speech/actor_01/03-01-08-01-01-02-01.wav,surprise,normal
speech/actor_01/03-01-05-02-01-01-01.wav,anger,strong
speech/actor_01/03-01-06-01-02-01-01.wav,fear,normal
speech/actor_01/03-01-04-02-02-01-01.wav,sadness,strong
speech/actor_01/03-01-01-01-01-01-01.wav,neutral,normal
speech/actor_01/03-01-07-02-01-01-01.wav,disgust,strong
