file,emotion,emotion.agreement
audio/1613671614352.wav,neutral,0.4
audio/1613658275427.wav,anger,0.8
audio/1613324357435.wav,anger,0.8
audio/1614274086698.wav,anger,0.6
audio/1612982146424.wav,anger,0.6
audio/1613493366347.wav,anger,0.8
audio/1613378571270.wav,anger,0.8
audio/1614358680245.wav,no_agreement,0.4
audio/1613467075686.wav,no_agreement,0.4
audio/1613472729970.wav,no_agreement,0.4
audio/1614274175492.wav,anger,0.8
audio/1616149732681.wav,anger,1.0
audio/1613405836816.wav,anger,1.0
audio/1614278852934.wav,anger,1.0
audio/1613832224152.wav,anger,0.6
audio/1614409808909.wav,anger,0.8
audio/1613824074999.wav,anger,1.0
audio/1614241720253.wav,anger,0.8
audio/1614254491929.wav,anger,0.6
audio/1616245413705.wav,neutral,0.8
audio/1614602587256.wav,anger,0.8
audio/1615228091771.wav,anger,0.8
audio/1612887953018.wav,anger,1.0
audio/1614799092895.wav,anger,0.6
audio/1613653182817.wav,surprise,0.4
audio/1613491973853.wav,anger,1.0
audio/1612982076287.wav,anger,0.6
audio/1613327358504.wav,anger,0.8
audio/1613930149998.wav,anger,0.6
audio/1614175494461.wav,anger,0.8
audio/1614067055983.wav,neutral,0.6
audio/1614601519175.wav,anger,0.8
audio/1613478744873.wav,anger,0.4
audio/1614368099633.wav,anger,1.0
audio/1614349528708.wav,anger,0.6
audio/1613491958317.wav,anger,0.8
audio/1614030631527.wav,anger,1.0
audio/1614112145970.wav,anger,0.6
audio/1613063461611.wav,anger,0.8
audio/1613325949943.wav,no_agreement,0.4
audio/1614096022725.wav,anger,0.8
audio/1613478705644.wav,anger,0.8
audio/1620377161599.wav,no_agreement,0.4
audio/1613466478916.wav,surprise,0.8
audio/1620376538879.wav,anger,0.6
audio/1613832308261.wav,anger,1.0
audio/1615738152527.wav,anger,0.8
audio/1614083472115.wav,surprise,0.6
audio/1614119325274.wav,anger,1.0
audio/1614335623127.wav,surprise,0.6
audio/1614509743835.wav,anger,0.8
audio/1613831545479.wav,anger,0.8
audio/1613324401979.wav,neutral,0.8
audio/1613831358616.wav,no_agreement,0.4
audio/1613325598299.wav,no_agreement,0.4
audio/1614348816307.wav,anger,0.4
audio/1613406241491.wav,anger,0.8
audio/1613463154175.wav,anger,1.0
audio/1616755151378.wav,neutral,0.8
audio/1613406710010.wav,sadness,0.8
audio/1614274154997.wav,anger,0.8
audio/1614174318448.wav,anger,0.6
audio/1613512695618.wav,anger,1.0
audio/1613918566491.wav,anger,1.0
audio/1613062647102.wav,anger,0.8
audio/1614173940870.wav,no_agreement,0.4
audio/1616505562295.wav,anger,0.6
audio/1613463069063.wav,anger,0.6
audio/1613672377450.wav,anger,0.8
audio/1613577081283.wav,anger,0.8
audio/1614880389339.wav,anger,0.8
audio/1614802466392.wav,anger,0.6
audio/1614349047610.wav,anger,0.6
audio/1614674175874.wav,anger,1.0
audio/1615228916153.wav,anger,1.0
audio/1615739021689.wav,surprise,0.6
audio/1616244155187.wav,neutral,0.6
audio/1613512802164.wav,anger,0.8
audio/1614108102277.wav,anger,1.0
audio/1613478563168.wav,anger,0.6
audio/1614602686433.wav,anger,0.8
audio/1614242064515.wav,anger,0.8
audio/1613223232903.wav,anger,0.6
audio/1613328985529.wav,anger,1.0
audio/1613339974103.wav,anger,1.0
audio/1613338993976.wav,anger,0.6
