file,anger,disgust,fear,happiness,neutral,sadness,surprise
audio/1613671614352.wav,1,0,0,0,2,1,1
audio/1613658275427.wav,4,0,0,1,0,0,0
audio/1613324357435.wav,4,0,0,0,1,0,0
audio/1614274086698.wav,3,1,0,0,0,0,1
audio/1612982146424.wav,3,0,0,0,2,0,0
audio/1613493366347.wav,4,1,0,0,0,0,0
audio/1613378571270.wav,4,0,1,0,0,0,0
audio/1614358680245.wav,1,2,0,2,0,0,0
audio/1613467075686.wav,2,0,0,0,1,0,2
audio/1613472729970.wav,2,2,0,0,0,1,0
audio/1614274175492.wav,4,1,0,0,0,0,0
audio/1616149732681.wav,5,0,0,0,0,0,0
audio/1613405836816.wav,5,0,0,0,0,0,0
audio/1614278852934.wav,5,0,0,0,0,0,0
audio/1613832224152.wav,3,0,0,1,1,0,0
audio/1614409808909.wav,4,0,0,0,0,1,0
audio/1613824074999.wav,5,0,0,0,0,0,0
audio/1614241720253.wav,4,1,0,0,0,0,0
audio/1614254491929.wav,3,0,0,1,0,0,1
audio/1616245413705.wav,1,0,0,0,4,0,0
audio/1614602587256.wav,4,0,0,1,0,0,0
audio/1615228091771.wav,4,0,0,0,0,0,1
audio/1612887953018.wav,5,0,0,0,0,0,0
audio/1614799092895.wav,3,0,1,0,0,0,1
audio/1613653182817.wav,1,0,0,0,1,1,2
audio/1613491973853.wav,5,0,0,0,0,0,0
audio/1612982076287.wav,3,0,1,0,1,0,0
audio/1613327358504.wav,4,0,0,0,0,0,1
audio/1613930149998.wav,3,0,0,0,1,1,0
audio/1614175494461.wav,4,1,0,0,0,0,0
audio/1614067055983.wav,1,1,0,0,3,0,0
audio/1614601519175.wav,4,0,0,0,1,0,0
audio/1613478744873.wav,2,1,0,0,1,0,1
audio/1614368099633.wav,5,0,0,0,0,0,0
audio/1614349528708.wav,3,0,0,0,2,0,0
audio/1613491958317.wav,4,0,0,1,0,0,0
audio/1614030631527.wav,5,0,0,0,0,0,0
audio/1614112145970.wav,3,1,0,0,0,1,0
audio/1613063461611.wav,4,0,0,0,0,1,0
audio/1613325949943.wav,1,2,0,0,2,0,0
audio/1614096022725.wav,4,0,0,0,0,0,1
audio/1613478705644.wav,4,0,0,1,0,0,0
audio/1620377161599.wav,2,0,0,0,2,1,0
audio/1613466478916.wav,1,0,0,0,0,0,4
audio/1620376538879.wav,3,0,0,0,0,2,0
audio/1613832308261.wav,5,0,0,0,0,0,0
audio/1615738152527.wav,4,0,0,0,1,0,0
audio/1614083472115.wav,2,0,0,0,0,0,3
audio/1614119325274.wav,5,0,0,0,0,0,0
audio/1614335623127.wav,1,0,0,0,1,0,3
audio/1614509743835.wav,4,1,0,0,0,0,0
audio/1613831545479.wav,4,0,0,0,0,0,1
audio/1613324401979.wav,1,0,0,0,4,0,0
audio/1613831358616.wav,2,0,0,1,2,0,0
audio/1613325598299.wav,2,1,0,0,2,0,0
audio/1614348816307.wav,2,0,0,1,1,0,1
audio/1613406241491.wav,4,1,0,0,0,0,0
audio/1613463154175.wav,5,0,0,0,0,0,0
audio/1616755151378.wav,1,0,0,0,4,0,0
audio/1613406710010.wav,1,0,0,0,0,4,0
audio/1614274154997.wav,4,1,0,0,0,0,0
audio/1614174318448.wav,3,0,0,0,0,0,2
audio/1613512695618.wav,5,0,0,0,0,0,0
audio/1613918566491.wav,5,0,0,0,0,0,0
audio/1613062647102.wav,4,0,0,0,0,1,0
audio/1614173940870.wav,1,0,0,2,0,0,2
audio/1616505562295.wav,3,0,0,0,0,0,2
audio/1613463069063.wav,3,0,0,1,1,0,0
audio/1613672377450.wav,4,0,0,0,0,1,0
audio/1613577081283.wav,4,0,0,0,0,1,0
audio/1614880389339.wav,4,0,0,0,0,0,1
audio/1614802466392.wav,3,0,0,0,1,0,1
audio/1614349047610.wav,3,0,0,0,0,0,2
audio/1614674175874.wav,5,0,0,0,0,0,0
audio/1615228916153.wav,5,0,0,0,0,0,0
audio/1615739021689.wav,1,0,0,1,0,0,3
audio/1616244155187.wav,1,0,0,0,3,0,1
audio/1613512802164.wav,4,0,0,0,1,0,0
audio/1614108102277.wav,5,0,0,0,0,0,0
audio/1613478563168.wav,3,1,0,0,1,0,0
audio/1614602686433.wav,4,0,0,0,0,0,1
audio/1614242064515.wav,4,0,0,0,0,0,1
audio/1613223232903.wav,3,0,0,0,0,0,2
audio/1613328985529.wav,5,0,0,0,0,0,0
audio/1613339974103.wav,5,0,0,0,0,0,0
audio/1613338993976.wav,3,0,1,0,1,0,0
audio/1614087657917.wav,1,1,0,0,0,0,3
audio/1614674030212.wav,5,0,0,0,0,0,0
audio/1613323230795.wav,2,0,0,1,0,1,1
audio/1614091162799.wav,4,0,0,0,0,0,1
audio/1614073183036.wav,1,0,1,0,1,0,2
audio/1614191022700.wav,2,0,0,0,1,1,1
audio/1613378369739.wav,1,1,0,0,2,1,0
audio/1613657779616.wav,3,0,0,0,2,0,0
audio/1614174487599.wav,1,0,0,1,3,0,0
audio/1614679724243.wav,2,0,0,0,3,0,0
audio/1614146960471.wav,5,0,0,0,0,0,0
audio/1613467099505.wav,1,0,0,1,1,0,2
audio/1614119074167.wav,4,0,0,0,1,0,0
audio/1613823793013.wav,5,0,0,0,0,0,0
audio/1614627054318.wav,5,0,0,0,0,0,0
audio/1613492732663.wav,4,0,0,0,1,0,0
audio/1613329119876.wav,5,0,0,0,0,0,0
audio/1613338681454.wav,1,1,0,0,3,0,0
